"customer_id","r_score","fm_score","rfm_segment"
"16658",5,1,"15"
"17859",5,1,"15"
"15042",5,1,"15"
"13182",3,1,"13"
"14237",5,1,"15"
"16448",5,1,"15"
"15307",4,1,"14"
"14705",5,1,"15"
"17881",5,1,"15"
"12651",5,1,"15"
"12974",5,1,"15"
"18119",5,1,"15"
"15168",2,1,"12"
"12851",4,1,"14"
"17843",5,1,"15"
"16323",5,1,"15"
"14280",5,1,"15"
"14119",5,1,"15"
"15925",5,1,"15"
"15843",5,1,"15"
"13070",5,1,"15"
"17538",2,1,"12"
"14039",3,1,"13"
"15454",5,1,"15"
"16483",5,1,"15"
"14082",5,1,"15"
"14174",3,1,"13"
"16363",3,1,"13"
"18027",4,1,"14"
"15723",5,1,"15"
"13922",5,1,"15"
"14946",2,1,"12"
"14453",5,1,"15"
"12531",2,1,"12"
"14494",2,1,"12"
"12551",5,1,"15"
"15458",2,1,"12"
"17128",5,1,"15"
"16117",5,1,"15"
"16963",5,1,"15"
"13807",5,1,"15"
"13099",4,1,"14"
"15866",4,1,"14"
"14966",2,1,"12"
"15638",5,1,"15"
"12814",4,1,"14"
"13778",4,1,"14"
"15325",4,1,"14"
"16849",5,1,"15"
"16641",4,1,"14"
"16542",3,1,"13"
"12938",2,1,"12"
"17987",5,1,"15"
"15263",4,1,"14"
"14542",5,1,"15"
"14314",4,1,"14"
"17785",3,1,"13"
"18200",4,1,"14"
"16412",3,1,"13"
"12966",1,1,"11"
"15663",4,1,"14"
"14241",5,1,"15"
"16113",5,1,"15"
"18058",1,1,"11"
"16565",5,1,"15"
"17234",5,1,"15"
"13411",4,1,"14"
"16932",3,1,"13"
"13786",5,1,"15"
"18042",3,1,"13"
"15017",3,1,"13"
"12588",3,1,"13"
"17349",5,1,"15"
"12441",5,1,"15"
"16445",3,1,"13"
"13663",5,1,"15"
"15670",5,1,"15"
"12968",4,1,"14"
"15748",3,1,"13"
"14772",4,1,"14"
"14485",3,1,"13"
"14357",3,1,"13"
"16461",4,1,"14"
"14386",5,1,"15"
"17885",2,1,"12"
"13273",4,1,"14"
"12641",4,1,"14"
"14371",5,1,"15"
"15909",4,1,"14"
"13568",4,1,"14"
"16961",4,1,"14"
"13618",4,1,"14"
"17879",4,1,"14"
"13621",4,1,"14"
"16050",4,1,"14"
"12837",4,1,"14"
"18138",5,1,"15"
"16752",5,1,"15"
"15016",4,1,"14"
"15683",4,1,"14"
"14406",4,1,"14"
"17122",4,1,"14"
"15945",5,1,"15"
"15280",4,1,"14"
"12581",3,1,"13"
"17643",5,1,"15"
"15412",4,1,"14"
"15335",3,1,"13"
"16114",4,1,"14"
"16247",4,1,"14"
"15041",4,1,"14"
"16579",5,1,"15"
"15266",5,1,"15"
"13937",4,1,"14"
"12503",5,1,"15"
"13188",2,1,"12"
"16287",4,1,"14"
"17709",4,1,"14"
"14795",4,1,"14"
"17344",3,1,"13"
"16913",5,1,"15"
"17110",4,1,"14"
"17359",2,1,"12"
"17331",4,1,"14"
"14830",3,1,"13"
"17206",3,1,"13"
"18114",5,1,"15"
"15537",4,1,"14"
"15590",5,1,"15"
"17891",4,1,"14"
"15578",4,1,"14"
"13513",4,1,"14"
"17171",5,1,"15"
"18099",4,1,"14"
"17939",4,1,"14"
"18068",5,1,"15"
"15374",4,1,"14"
"15007",4,1,"14"
"17899",4,1,"14"
"16344",4,1,"14"
"14929",3,1,"13"
"15543",5,1,"15"
"16338",4,1,"14"
"18203",4,1,"14"
"17514",4,1,"14"
"17117",5,1,"15"
"15160",5,1,"15"
"16829",4,1,"14"
"15844",3,1,"13"
"16569",1,1,"11"
"16847",3,1,"13"
"12361",5,1,"15"
"14972",4,1,"14"
"16679",5,1,"15"
"17836",3,1,"13"
"17534",3,1,"13"
"14089",3,1,"13"
"14076",4,1,"14"
"14046",5,1,"15"
"17887",4,1,"14"
"12509",5,1,"15"
"15438",4,1,"14"
"13678",4,1,"14"
"14143",4,1,"14"
"14552",4,1,"14"
"14355",5,1,"15"
"15895",4,1,"14"
"17165",5,1,"15"
"15540",1,1,"11"
"16339",5,1,"15"
"17307",5,1,"15"
"15319",5,1,"15"
"16017",3,1,"13"
"15256",4,1,"14"
"15709",5,1,"15"
"14722",4,1,"14"
"13033",5,1,"15"
"17984",4,1,"14"
"15347",5,1,"15"
"17923",5,1,"15"
"15733",5,1,"15"
"16893",5,1,"15"
"14100",4,1,"14"
"12864",4,1,"14"
"14974",3,1,"13"
"17448",4,1,"14"
"13154",4,1,"14"
"16784",2,1,"12"
"17065",4,1,"14"
"12817",5,1,"15"
"16178",4,1,"14"
"17962",4,1,"14"
"14259",4,1,"14"
"17660",4,1,"14"
"14601",1,1,"11"
"15790",1,1,"11"
"16252",5,1,"15"
"17832",3,1,"13"
"17789",5,1,"15"
"15740",3,1,"13"
"18262",4,1,"14"
"14349",1,1,"11"
"13926",2,1,"12"
"13428",1,1,"11"
"13710",2,1,"12"
"16773",3,1,"13"
"17325",5,1,"15"
"13382",5,1,"15"
"17219",2,1,"12"
"15923",5,1,"15"
"17279",3,1,"13"
"17535",5,1,"15"
"14247",5,1,"15"
"15988",2,1,"12"
"16351",5,1,"15"
"16680",3,1,"13"
"16517",5,1,"15"
"14578",1,1,"11"
"17561",2,1,"12"
"15554",5,1,"15"
"17153",2,1,"12"
"13858",3,1,"13"
"12442",1,1,"11"
"18280",5,1,"15"
"17654",5,1,"15"
"16753",3,1,"13"
"13958",5,1,"15"
"17639",5,1,"15"
"15234",5,1,"15"
"16516",2,1,"12"
"12445",2,1,"12"
"15728",3,1,"13"
"14052",2,1,"12"
"12893",2,1,"12"
"14165",5,1,"15"
"16471",5,1,"15"
"17038",2,1,"12"
"15986",2,1,"12"
"18086",5,1,"15"
"13226",5,1,"15"
"14642",3,1,"13"
"15049",5,1,"15"
"17680",2,1,"12"
"12602",3,1,"13"
"13144",5,1,"15"
"13690",3,1,"13"
"15388",5,1,"15"
"14962",5,1,"15"
"12702",2,1,"12"
"16392",5,1,"15"
"14661",2,1,"12"
"16061",5,1,"15"
"17542",5,1,"15"
"17947",3,1,"13"
"14968",2,1,"12"
"16666",2,1,"12"
"13716",5,1,"15"
"13299",5,1,"15"
"14027",3,1,"13"
"13522",2,1,"12"
"13146",2,1,"12"
"15758",2,1,"12"
"16720",2,1,"12"
"14889",5,1,"15"
"18105",3,1,"13"
"14041",5,1,"15"
"15435",2,1,"12"
"14155",5,1,"15"
"17060",5,1,"15"
"14059",5,1,"15"
"13072",5,1,"15"
"16179",3,1,"13"
"18126",3,1,"13"
"14066",5,1,"15"
"14666",2,1,"12"
"12902",5,1,"15"
"14693",5,1,"15"
"18169",3,1,"13"
"15463",2,1,"12"
"15445",5,1,"15"
"15703",5,1,"15"
"13436",1,1,"11"
"15350",5,1,"15"
"13262",5,1,"15"
"15460",5,1,"15"
"12734",5,1,"15"
"13980",3,1,"13"
"13603",2,1,"12"
"18015",1,1,"11"
"12666",5,1,"15"
"18224",5,1,"15"
"16282",5,1,"15"
"17343",5,1,"15"
"17791",2,1,"12"
"13739",2,1,"12"
"15437",5,1,"15"
"14632",5,1,"15"
"12831",5,1,"15"
"18191",5,1,"15"
"17901",2,1,"12"
"15886",3,1,"13"
"17895",3,1,"13"
"14098",3,1,"13"
"16846",3,1,"13"
"15567",2,1,"12"
"17698",5,1,"15"
"14362",2,1,"12"
"18209",2,1,"12"
"14585",3,1,"13"
"13170",2,1,"12"
"14801",3,1,"13"
"18014",2,1,"12"
"12736",5,1,"15"
"16921",3,1,"13"
"14536",5,1,"15"
"14476",5,1,"15"
"18088",3,1,"13"
"16433",2,1,"12"
"17253",2,1,"12"
"18010",5,1,"15"
"15692",2,1,"12"
"14789",2,1,"12"
"15528",5,1,"15"
"15607",5,1,"15"
"12367",1,1,"11"
"14185",5,1,"15"
"16315",5,1,"15"
"15447",5,1,"15"
"17855",5,1,"15"
"16248",3,1,"13"
"14890",5,1,"15"
"13193",3,1,"13"
"17212",5,1,"15"
"13876",3,1,"13"
"12812",3,1,"13"
"16406",2,1,"12"
"15853",3,1,"13"
"17383",1,1,"11"
"13419",3,1,"13"
"15691",5,1,"15"
"15070",5,1,"15"
"12672",5,1,"15"
"15316",5,1,"15"
"17030",3,1,"13"
"15562",5,1,"15"
"14238",5,1,"15"
"13781",5,1,"15"
"14598",3,1,"13"
"12738",5,1,"15"
"13859",5,1,"15"
"13059",5,1,"15"
"13828",2,1,"12"
"15937",3,1,"13"
"15395",5,1,"15"
"13829",5,1,"15"
"16337",3,1,"13"
"14518",3,1,"13"
"15432",2,1,"12"
"12923",3,1,"13"
"16914",3,1,"13"
"12984",2,1,"12"
"14964",5,1,"15"
"16895",3,1,"13"
"15917",5,1,"15"
"13348",3,1,"13"
"14981",5,1,"15"
"16106",3,1,"13"
"16144",5,1,"15"
"18033",3,1,"13"
"13712",5,1,"15"
"13898",5,1,"15"
"16415",3,1,"13"
"13483",3,1,"13"
"15775",5,1,"15"
"16623",5,1,"15"
"15610",3,1,"13"
"13508",5,1,"15"
"18129",5,1,"15"
"17148",3,1,"13"
"15096",3,1,"13"
"17574",5,1,"15"
"17647",3,1,"13"
"14641",2,1,"12"
"16988",1,1,"11"
"12402",5,1,"15"
"17972",5,1,"15"
"17957",3,1,"13"
"16697",5,1,"15"
"13948",5,1,"15"
"17274",3,1,"13"
"16097",5,1,"15"
"17297",2,1,"12"
"16926",5,1,"15"
"15276",3,1,"13"
"15262",5,1,"15"
"15419",2,1,"12"
"15174",5,1,"15"
"16591",3,1,"13"
"16262",5,1,"15"
"17601",5,1,"15"
"17367",5,1,"15"
"14204",1,1,"11"
"15593",3,1,"13"
"13322",2,1,"12"
"14714",2,1,"12"
"13474",5,1,"15"
"17582",5,1,"15"
"18213",5,1,"15"
"17714",5,1,"15"
"17427",4,1,"14"
"15175",4,1,"14"
"13503",4,1,"14"
"14569",1,1,"11"
"16617",5,1,"15"
"12587",1,1,"11"
"15717",5,1,"15"
"12920",2,1,"12"
"17217",5,1,"15"
"13101",5,1,"15"
"18249",2,1,"12"
"13017",1,1,"11"
"15348",4,1,"14"
"17600",2,1,"12"
"18278",4,1,"14"
"15167",5,1,"15"
"17967",5,1,"15"
"13514",4,1,"14"
"14148",5,1,"15"
"18141",5,1,"15"
"14218",3,1,"13"
"17524",5,1,"15"
"14782",5,1,"15"
"17718",5,1,"15"
"13560",1,1,"11"
"16587",5,1,"15"
"14368",5,1,"15"
"12791",5,1,"15"
"16430",3,1,"13"
"13449",2,1,"12"
"12522",3,1,"13"
"15667",3,1,"13"
"13103",3,1,"13"
"15423",3,1,"13"
"16878",2,1,"12"
"14995",3,1,"13"
"16830",3,1,"13"
"17510",2,1,"12"
"16423",2,1,"12"
"13271",3,1,"13"
"13187",5,1,"15"
"14528",3,1,"13"
"15612",3,1,"13"
"17403",3,1,"13"
"15556",2,1,"12"
"15010",3,1,"13"
"16318",3,1,"13"
"12489",5,1,"15"
"13938",3,1,"13"
"18117",2,1,"12"
"17608",3,1,"13"
"16936",2,1,"12"
"18032",5,1,"15"
"14953",2,1,"12"
"17831",3,1,"13"
"14080",3,1,"13"
"16850",5,1,"15"
"15326",5,1,"15"
"15870",3,1,"13"
"16519",2,1,"12"
"17793",2,1,"12"
"17022",2,1,"12"
"15153",2,1,"12"
"12532",2,1,"12"
"13992",2,1,"12"
"17569",5,1,"15"
"15520",1,1,"11"
"17011",2,1,"12"
"16953",2,1,"12"
"12538",2,1,"12"
"14863",2,1,"12"
"13460",2,1,"12"
"12659",2,1,"12"
"12617",2,1,"12"
"17977",2,1,"12"
"15346",5,1,"15"
"15510",5,1,"15"
"17968",5,1,"15"
"18212",5,1,"15"
"13693",5,1,"15"
"14087",1,1,"11"
"12346",5,1,"15"
"14090",5,1,"15"
"17862",5,1,"15"
"13008",5,1,"15"
"13284",5,1,"15"
"16387",5,1,"15"
"14068",5,1,"15"
"13551",5,1,"15"
"14248",5,1,"15"
"16124",5,1,"15"
"14549",5,1,"15"
"15940",5,1,"15"
"12373",5,1,"15"
"13494",5,1,"15"
"12350",5,1,"15"
"16030",5,1,"15"
"14729",5,1,"15"
"15753",5,1,"15"
"15970",5,1,"15"
"12401",5,1,"15"
"14142",5,1,"15"
"16274",5,1,"15"
"16425",5,1,"15"
"16971",1,1,"11"
"13706",5,1,"15"
"12561",5,1,"15"
"12943",5,1,"15"
"12505",5,1,"15"
"15236",5,1,"15"
"16738",5,1,"15"
"16148",5,1,"15"
"17547",5,1,"15"
"17732",5,1,"15"
"16509",5,1,"15"
"13932",5,1,"15"
"16620",1,1,"11"
"16765",5,1,"15"
"16073",5,1,"15"
"16349",5,1,"15"
"15397",5,1,"15"
"18056",5,1,"15"
"13751",5,1,"15"
"13973",5,1,"15"
"16078",5,1,"15"
"12834",5,1,"15"
"15257",5,1,"15"
"17995",5,1,"15"
"15087",5,1,"15"
"16159",5,1,"15"
"14570",5,1,"15"
"12614",5,1,"15"
"14012",5,1,"15"
"14576",5,1,"15"
"15944",5,1,"15"
"12623",5,1,"15"
"12881",5,1,"15"
"15992",1,1,"11"
"14727",5,1,"15"
"16625",5,1,"15"
"17914",1,1,"11"
"13708",5,1,"15"
"15047",5,1,"15"
"12650",1,1,"11"
"15318",1,1,"11"
"13108",5,1,"15"
"13185",5,1,"15"
"16976",5,1,"15"
"14840",5,1,"15"
"13216",5,1,"15"
"16528",1,1,"11"
"15019",5,1,"15"
"14633",5,1,"15"
"16096",5,1,"15"
"16995",5,1,"15"
"15408",5,1,"15"
"17678",5,1,"15"
"14762",5,1,"15"
"17763",5,1,"15"
"15457",5,1,"15"
"14793",1,1,"11"
"16721",5,1,"15"
"13132",5,1,"15"
"13239",5,1,"15"
"14870",5,1,"15"
"17102",5,1,"15"
"13512",5,1,"15"
"13790",1,1,"11"
"17976",5,1,"15"
"13011",5,1,"15"
"15178",5,1,"15"
"16063",5,1,"15"
"15083",5,1,"15"
"13439",5,1,"15"
"13803",5,1,"15"
"17775",5,1,"15"
"13060",5,1,"15"
"14957",5,1,"15"
"16619",5,1,"15"
"14886",5,1,"15"
"17908",5,1,"15"
"13626",5,1,"15"
"16162",5,1,"15"
"12855",5,1,"15"
"13841",5,1,"15"
"18185",5,1,"15"
"16597",1,1,"11"
"17956",5,1,"15"
"15097",1,1,"11"
"16105",5,1,"15"
"17906",5,1,"15"
"14219",1,1,"11"
"15119",5,1,"15"
"17925",5,1,"15"
"14924",5,1,"15"
"16510",5,1,"15"
"13570",5,1,"15"
"13484",5,1,"15"
"17278",5,1,"15"
"13740",5,1,"15"
"15139",5,1,"15"
"12686",5,1,"15"
"14679",5,1,"15"
"13120",5,1,"15"
"16193",5,1,"15"
"17697",5,1,"15"
"14589",5,1,"15"
"15517",5,1,"15"
"17120",5,1,"15"
"12506",5,1,"15"
"14213",5,1,"15"
"16823",5,1,"15"
"15143",5,1,"15"
"15210",5,1,"15"
"14311",5,1,"15"
"17942",1,1,"11"
"16634",5,1,"15"
"14304",5,1,"15"
"16610",5,1,"15"
"14697",5,1,"15"
"14423",5,1,"15"
"14393",5,1,"15"
"18113",5,1,"15"
"17174",5,1,"15"
"16138",5,1,"15"
"15899",5,1,"15"
"15668",5,1,"15"
"15552",5,1,"15"
"18227",5,1,"15"
"13642",5,1,"15"
"14353",5,1,"15"
"12821",5,1,"15"
"16756",5,1,"15"
"13990",5,1,"15"
"15063",5,1,"15"
"17889",5,1,"15"
"13052",5,1,"15"
"14988",5,1,"15"
"17263",5,1,"15"
"14888",5,1,"15"
"13976",5,1,"15"
"13887",5,1,"15"
"13762",5,1,"15"
"12897",5,1,"15"
"12353",5,1,"15"
"13391",5,1,"15"
"14960",1,1,"11"
"18048",5,1,"15"
"14647",5,1,"15"
"17176",5,1,"15"
"13227",5,1,"15"
"17715",5,1,"15"
"13737",5,1,"15"
"15314",5,1,"15"
"17860",5,1,"15"
"12547",5,1,"15"
"14816",5,1,"15"
"14860",1,1,"11"
"17051",5,1,"15"
"15897",5,1,"15"
"15180",5,1,"15"
"12790",5,1,"15"
"13062",5,1,"15"
"16789",1,1,"11"
"16125",5,1,"15"
"16659",5,1,"15"
"14804",1,1,"11"
"15405",5,1,"15"
"16967",5,1,"15"
"13682",5,1,"15"
"13395",5,1,"15"
"14375",5,1,"15"
"17124",5,1,"15"
"14622",5,1,"15"
"17911",1,1,"11"
"13686",5,1,"15"
"18281",5,1,"15"
"12870",5,1,"15"
"13080",5,1,"15"
"17737",1,1,"11"
"12732",5,1,"15"
"18165",4,1,"14"
"17536",4,1,"14"
"15219",4,1,"14"
"16257",4,1,"14"
"12953",1,1,"11"
"15921",4,1,"14"
"17960",4,1,"14"
"16526",4,1,"14"
"17877",4,1,"14"
"16647",4,1,"14"
"15130",4,1,"14"
"12548",4,1,"14"
"17969",4,1,"14"
"14351",4,1,"14"
"16545",4,1,"14"
"14327",4,1,"14"
"17408",4,1,"14"
"17123",4,1,"14"
"17781",4,1,"14"
"17464",4,1,"14"
"13826",4,1,"14"
"12450",4,1,"14"
"12977",4,1,"14"
"13291",4,1,"14"
"13699",4,1,"14"
"13302",4,1,"14"
"13349",1,1,"11"
"18013",4,1,"14"
"18072",4,1,"14"
"15512",4,1,"14"
"14104",4,1,"14"
"12648",4,1,"14"
"16450",4,1,"14"
"13667",4,1,"14"
"14847",4,1,"14"
"14821",5,1,"15"
"15148",1,1,"11"
"17948",4,1,"14"
"14785",1,1,"11"
"13967",4,1,"14"
"15369",4,1,"14"
"14117",4,1,"14"
"14437",4,1,"14"
"17694",4,1,"14"
"15623",4,1,"14"
"17772",1,1,"11"
"15783",1,1,"11"
"15619",1,1,"11"
"12605",5,1,"15"
"16305",4,1,"14"
"12660",1,1,"11"
"13296",4,1,"14"
"13298",1,1,"11"
"13194",4,1,"14"
"15261",4,1,"14"
"16447",4,1,"14"
"12558",1,1,"11"
"18268",4,1,"14"
"15118",4,1,"14"
"15746",4,1,"14"
"18101",1,1,"11"
"15942",4,1,"14"
"15776",4,1,"14"
"13844",1,1,"11"
"17941",4,1,"14"
"12750",4,1,"14"
"17456",5,1,"15"
"16835",4,1,"14"
"15254",4,1,"14"
"13218",4,1,"14"
"15247",4,1,"14"
"13645",4,1,"14"
"17248",4,1,"14"
"14480",2,1,"12"
"13307",4,1,"14"
"14932",5,1,"15"
"14954",2,1,"12"
"17070",4,1,"14"
"15541",4,1,"14"
"16582",4,1,"14"
"17978",5,1,"15"
"16024",2,1,"12"
"15396",4,1,"14"
"15313",4,1,"14"
"14523",4,1,"14"
"16302",4,1,"14"
"16429",4,1,"14"
"14196",4,1,"14"
"16093",4,1,"14"
"12715",4,2,"24"
"17844",4,2,"24"
"16856",2,2,"22"
"13332",2,2,"22"
"13256",2,2,"22"
"16727",5,2,"25"
"13045",4,2,"24"
"13978",2,2,"22"
"14171",4,2,"24"
"14703",2,2,"22"
"14436",4,2,"24"
"17385",2,2,"22"
"16761",4,2,"24"
"17309",4,2,"24"
"13130",4,2,"24"
"16400",4,2,"24"
"17251",5,2,"25"
"13210",4,2,"24"
"15198",4,2,"24"
"18184",2,2,"22"
"17767",2,2,"22"
"16189",2,2,"22"
"15488",4,2,"24"
"15652",4,2,"24"
"13441",4,2,"24"
"18215",4,2,"24"
"17247",2,2,"22"
"15035",4,2,"24"
"16796",4,2,"24"
"12884",4,2,"24"
"17433",4,2,"24"
"17458",2,2,"22"
"15343",4,2,"24"
"16451",4,2,"24"
"15466",4,2,"24"
"15975",4,2,"24"
"15428",2,2,"22"
"15504",4,2,"24"
"17628",4,2,"24"
"13774",4,2,"24"
"16428",4,2,"24"
"13228",4,2,"24"
"16777",4,2,"24"
"16215",4,2,"24"
"16627",4,2,"24"
"14951",4,2,"24"
"15603",4,2,"24"
"16715",4,2,"24"
"15744",4,2,"24"
"16978",4,2,"24"
"16485",4,2,"24"
"13127",4,2,"24"
"12995",4,2,"24"
"17498",4,2,"24"
"18066",4,2,"24"
"13670",4,2,"24"
"17303",5,2,"25"
"17154",4,2,"24"
"16468",4,2,"24"
"14908",4,2,"24"
"14473",4,2,"24"
"13927",4,2,"24"
"17010",2,2,"22"
"16202",5,2,"25"
"15243",4,2,"24"
"15393",2,2,"22"
"16181",4,2,"24"
"13403",2,2,"22"
"13061",4,2,"24"
"18274",2,2,"22"
"12718",4,2,"24"
"14424",2,2,"22"
"15634",2,2,"22"
"13886",3,2,"23"
"13972",3,2,"23"
"13347",3,2,"23"
"13095",3,2,"23"
"13832",2,2,"22"
"15185",3,2,"23"
"17376",3,2,"23"
"15774",3,2,"23"
"16183",3,2,"23"
"13792",3,2,"23"
"13364",3,2,"23"
"13801",3,2,"23"
"13986",2,2,"22"
"17382",3,2,"23"
"17222",3,2,"23"
"13947",3,2,"23"
"16758",3,2,"23"
"12586",2,2,"22"
"16803",3,2,"23"
"14054",3,2,"23"
"17551",5,2,"25"
"12789",3,2,"23"
"13177",3,2,"23"
"15699",2,2,"22"
"16432",3,2,"23"
"13504",3,2,"23"
"14557",3,2,"23"
"15857",2,2,"22"
"17752",5,2,"25"
"14300",2,2,"22"
"13845",3,2,"23"
"15766",3,2,"23"
"14792",3,2,"23"
"12519",3,2,"23"
"13806",3,2,"23"
"13295",5,2,"25"
"13259",3,2,"23"
"16595",3,2,"23"
"16104",3,2,"23"
"14551",2,2,"22"
"15115",2,2,"22"
"16366",2,2,"22"
"18050",5,2,"25"
"16411",2,2,"22"
"13747",5,2,"25"
"14984",2,2,"22"
"17496",5,2,"25"
"15789",5,2,"25"
"18110",2,2,"22"
"14373",5,2,"25"
"16171",3,2,"23"
"16506",2,2,"22"
"17620",3,2,"23"
"13283",3,2,"23"
"14881",2,2,"22"
"12607",3,2,"23"
"13142",2,2,"22"
"14537",3,2,"23"
"14975",3,2,"23"
"16793",3,2,"23"
"14624",3,2,"23"
"15204",5,2,"25"
"13006",3,2,"23"
"16413",3,2,"23"
"17986",3,2,"23"
"16052",3,2,"23"
"17436",1,2,"21"
"12454",3,2,"23"
"13962",2,2,"22"
"17904",2,2,"22"
"13923",3,2,"23"
"17201",3,2,"23"
"15678",3,2,"23"
"16848",3,2,"23"
"13960",2,2,"22"
"16826",3,2,"23"
"18019",3,2,"23"
"17824",3,2,"23"
"16123",3,2,"23"
"17973",3,2,"23"
"17125",3,2,"23"
"13897",3,2,"23"
"14484",3,2,"23"
"16177",3,2,"23"
"13366",3,2,"23"
"15565",3,2,"23"
"15124",2,2,"22"
"13669",3,2,"23"
"15286",3,2,"23"
"13160",2,2,"22"
"17111",3,2,"23"
"16742",3,2,"23"
"15277",3,2,"23"
"17928",3,2,"23"
"18147",3,2,"23"
"15657",2,2,"22"
"16071",3,2,"23"
"15320",3,2,"23"
"16026",3,2,"23"
"17684",3,2,"23"
"12430",3,2,"23"
"15659",3,2,"23"
"15900",2,2,"22"
"17839",3,2,"23"
"13304",5,2,"25"
"15385",3,2,"23"
"16601",3,2,"23"
"14109",2,2,"22"
"17896",2,2,"22"
"16737",3,2,"23"
"16227",5,2,"25"
"16405",5,2,"25"
"16414",2,2,"22"
"15475",4,2,"24"
"16403",5,2,"25"
"17501",5,2,"25"
"14757",4,2,"24"
"18006",2,2,"22"
"12890",2,2,"22"
"12962",1,2,"21"
"16198",4,2,"24"
"14600",5,2,"25"
"14022",5,2,"25"
"13787",4,2,"24"
"17991",5,2,"25"
"14902",2,2,"22"
"17392",5,2,"25"
"14586",5,2,"25"
"17816",3,2,"23"
"17226",5,2,"25"
"13594",3,2,"23"
"16834",5,2,"25"
"15090",5,2,"25"
"18084",2,2,"22"
"18282",1,2,"21"
"15135",5,2,"25"
"16454",3,2,"23"
"15154",4,2,"24"
"15361",5,2,"25"
"12797",5,2,"25"
"17223",5,2,"25"
"14850",5,2,"25"
"16778",4,2,"24"
"17431",5,2,"25"
"17946",5,2,"25"
"17172",4,2,"24"
"13485",5,2,"25"
"14272",4,2,"24"
"17746",5,2,"25"
"15661",5,2,"25"
"14798",3,2,"23"
"15225",5,2,"25"
"17155",2,2,"22"
"12733",5,2,"25"
"14242",5,2,"25"
"14326",5,2,"25"
"14947",4,2,"24"
"17783",4,2,"24"
"14865",1,2,"21"
"12591",5,2,"25"
"16574",4,2,"24"
"18009",5,2,"25"
"17094",5,2,"25"
"15973",5,2,"25"
"18176",5,2,"25"
"15803",3,2,"23"
"16947",5,2,"25"
"17760",2,2,"22"
"15551",3,2,"23"
"14658",1,2,"21"
"17506",3,2,"23"
"15516",3,2,"23"
"17936",1,2,"21"
"14206",5,2,"25"
"17163",2,2,"22"
"15823",5,2,"25"
"15422",5,2,"25"
"18273",1,2,"21"
"16404",3,2,"23"
"16884",3,2,"23"
"15230",5,2,"25"
"12665",5,2,"25"
"15930",3,2,"23"
"18233",5,2,"25"
"13351",3,2,"23"
"12512",3,2,"23"
"18053",3,2,"23"
"15212",5,2,"25"
"18106",5,2,"25"
"17052",2,2,"22"
"16386",2,2,"22"
"17362",5,2,"25"
"15109",5,2,"25"
"16881",3,2,"23"
"15363",5,2,"25"
"15739",3,2,"23"
"14184",3,2,"23"
"15355",2,2,"22"
"14768",2,2,"22"
"15014",3,2,"23"
"14752",3,2,"23"
"15127",3,2,"23"
"14764",3,2,"23"
"16648",3,2,"23"
"13245",3,2,"23"
"12725",5,2,"25"
"14638",3,2,"23"
"13863",5,2,"25"
"13718",5,2,"25"
"14354",1,2,"21"
"15597",2,2,"22"
"13544",3,2,"23"
"17549",2,2,"22"
"12580",5,2,"25"
